,name,salary,min_salary,max_salary,currency_salary,link,source
0,Ведущий инженер по тестированию (python),З/П не указана,,,,https://hh.ru/vacancy/73199414?from=vacancy_search_list&query=python,hh.ru
1,Аналитик данных / Data Analyst,З/П не указана,,,,https://hh.ru/vacancy/69166398?from=vacancy_search_list&query=python,hh.ru
2,Аналитик данных / Data Analyst,З/П не указана,,,,https://hh.ru/vacancy/76869170?from=vacancy_search_list&query=python,hh.ru
3,Преподаватель Backend направления,6 000 000 – 10 000 000 сум,6000000.0,10000000.0,сум,https://hh.ru/vacancy/77349432?from=vacancy_search_list&query=python,hh.ru
4,Младший инженер по тестированию (QA performance engineer Junior),З/П не указана,,,,https://hh.ru/vacancy/76087775?from=vacancy_search_list&query=python,hh.ru
5,Специалист по углубленной аналитике данных (Data scientist),З/П не указана,,,,https://hh.ru/vacancy/72920605?from=vacancy_search_list&query=python,hh.ru
6,SQL разработчик,З/П не указана,,,,https://hh.ru/vacancy/77286859?from=vacancy_search_list&query=python,hh.ru
7,Разработчик Python,200 000 – 250 000 руб.,200000.0,250000.0,руб.,https://hh.ru/vacancy/77091466?from=vacancy_search_list&query=python,hh.ru
8,Программист Python Junior,З/П не указана,,,,https://hh.ru/vacancy/77146976?from=vacancy_search_list&query=python,hh.ru
9,"Python-разработчик (Django, DRF)",60 000 – 220 000 руб.,60000.0,220000.0,руб.,https://hh.ru/vacancy/70705466?from=vacancy_search_list&query=python,hh.ru
10,Разработчик Python,200 000 – 250 000 руб.,200000.0,250000.0,руб.,https://hh.ru/vacancy/77091465?from=vacancy_search_list&query=python,hh.ru
11,Разработчик C# / Python,300 000 – 500 000 руб.,300000.0,500000.0,руб.,https://hh.ru/vacancy/71147348?from=vacancy_search_list&query=python,hh.ru
12,Python Backend Developer / WEB - разработчик,300 000 – 450 000 руб.,300000.0,450000.0,руб.,https://hh.ru/vacancy/72216524?from=vacancy_search_list&query=python,hh.ru
13,Ведущий Python разработчик (удаленка),до 8 000 USD,,8000.0,USD,https://hh.ru/vacancy/76832091?from=vacancy_search_list&query=python,hh.ru
14,Backend (Python) инженер,800 000 – 1 300 000 KZT,800000.0,1300000.0,KZT,https://hh.ru/vacancy/77382317?from=vacancy_search_list&query=python,hh.ru
15,Junior+ Python Backend Developer,до 120 000 руб.,,120000.0,руб.,https://hh.ru/vacancy/77372405?from=vacancy_search_list&query=python,hh.ru
16,Backend developer (Python),60 000 – 150 000 руб.,60000.0,150000.0,руб.,https://hh.ru/vacancy/76716478?from=vacancy_search_list&query=python,hh.ru
